title,part,min len,max len,incl num,incl punct,num pos,medium,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
SvsM1,med,3,7,False,False,36,True,[50],LSTM,Tanh,50,4174,864,37.5201023
Epoch,Train Error,Test Error,Validation Error
2,0.303785337805,0.309027777778,0.283936651584
4,0.242453282223,0.256944444444,0.243212669683
6,0.271202683277,0.280092592593,0.265837104072
8,0.237422137039,0.253472222222,0.22963800905
10,0.241255390513,0.258101851852,0.244343891403
12,0.23191183517,0.252314814815,0.231900452489
14,0.201006229037,0.244212962963,0.218325791855
16,0.241974125539,0.251157407407,0.248868778281
18,0.229036895065,0.243055555556,0.233031674208
20,0.289171058936,0.3125,0.298642533937
22,0.19118351701,0.217592592593,0.202488687783
24,0.171777671299,0.210648148148,0.201357466063
26,0.17872544322,0.212962962963,0.200226244344
28,0.194298035458,0.228009259259,0.221719457014
30,0.245807379013,0.282407407407,0.265837104072
32,0.170340201246,0.212962962963,0.201357466063
34,0.223526593196,0.24537037037,0.25
36,0.246046957355,0.283564814815,0.277149321267
38,0.226161954959,0.265046296296,0.252262443439
40,0.173454719693,0.217592592593,0.207013574661
42,0.232870148539,0.287037037037,0.274886877828
44,0.176808816483,0.224537037037,0.211538461538
46,0.28054623862,0.302083333333,0.307692307692
48,0.143507426929,0.208333333333,0.176470588235
50,0.143986583613,0.204861111111,0.184389140271
Final Validation Error,0.176470588235
