title,part,min len,max len,incl num,incl punct,num pos,medium,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
SvsM1,small_flex,3,7,True,True,12,False,[50],LSTM,Tanh,40,6048,1292,42.79297945
Epoch,Train Error,Test Error,Validation Error
2,0.381283068783,0.397058823529,0.387070376432
4,0.358134920635,0.38080495356,0.363338788871
6,0.310515873016,0.34907120743,0.335515548282
8,0.296130952381,0.328173374613,0.324877250409
10,0.263723544974,0.294891640867,0.28968903437
12,0.212962962963,0.239164086687,0.259410801964
14,0.232308201058,0.269349845201,0.273322422259
16,0.20419973545,0.234520123839,0.238134206219
18,0.209325396825,0.251547987616,0.256137479542
20,0.233961640212,0.271671826625,0.287234042553
22,0.256283068783,0.294117647059,0.283142389525
24,0.232473544974,0.266253869969,0.274140752864
26,0.193783068783,0.240712074303,0.252864157119
28,0.247685185185,0.284055727554,0.293780687398
30,0.196759259259,0.245356037152,0.257774140753
32,0.209490740741,0.258513931889,0.266775777414
34,0.30291005291,0.342105263158,0.329787234043
36,0.189318783069,0.243808049536,0.256955810147
38,0.205687830688,0.255417956656,0.253682487725
40,0.174107142857,0.224458204334,0.235679214403
Final Validation Error,0.235679214403
