title,part,min len,max len,incl num,incl punct,num pos,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
First Real Experiment,4,3,7,False,False,12,[50],LSTM,Tanh,40,5454,1164,40.9367465833
Epoch,Train Error,Test Error,Validation Error
4,0.355335533553,0.36941580756,0.349683544304
8,0.453245324532,0.446735395189,0.443037974684
12,0.320498716538,0.343642611684,0.310126582278
16,0.342500916758,0.360824742268,0.337816455696
20,0.370737073707,0.381443298969,0.372626582278
24,0.449944994499,0.451030927835,0.449367088608
28,0.319215254859,0.333333333333,0.321993670886
32,0.389255592226,0.396907216495,0.39003164557
36,0.314998166483,0.330756013746,0.317246835443
40,0.296846351302,0.308419243986,0.292721518987
Final Validation Error,0.292721518987
