title,part,min len,max len,incl num,incl punct,num pos,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
default dict title,default part,3,4,TRUE,TRUE,12,[50],LSTM,Tanh,2,2320,480,0.521710817
Epoch,Train Error,Test Error,,,,,,,,,,,
1,0.452586207,0.44375,0.463855422,,,,,,,,,,
2,0.404310345,0.425,0.401606426,,,,,,,,,,
Final Validation Error,0.401606426,,,,,,,,,,,,
